Id_Secteur,Codeinsseecommune,Communesrelevantdusecteurderecrutement,Detailsecteurscolaire,Commune,college,Adressecollege,BPcollege,Cedexcollege,Codepostalcollege,Codeinseecommunecollege
"SECT_7","22135","LOUARGAT","Secteur situé au nord du chemin de fer","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_70","22008","BOBITAL","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_71","22021","BRUSVILY","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_72","22050","DINAN","secteur situé à l'Ouest d'une ligne passant par les rues Capitaine Hesry-rue du Colombier-rue Carnot-rue Thiers-rue Chateaubriand-rue du bas Bourgneuf. Toutes les rues citées ci-dessus appartiennent au secteur de recrutement du collège Broussais","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_73","22082","HINGLE (LE)","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_74","22097","LANDEC (LA)","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_75","22123","LEHON","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_76","22180","PLELAN-LE-PETIT","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_77","22259","QUEVERT","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_78","22280","SAINT-CARNE","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_79","22364","TRELIVAN","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_8","22164","PEDERNEC","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_80","22380","TREVRON","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_81","22388","VILDE-GUINGALAN","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
"SECT_82","22026","CALORGUEN","","DINAN","Collège ""Roger Vercel""","12 rue de Léhon","BP 22065","","22102","22050"
"SECT_83","22035","CHAMPS GERAUX (LES)","","DINAN","Collège ""Roger Vercel""","12 rue de Léhon","BP 22065","","22102","22050"
"SECT_84","22050","DINAN","Secteur à l'Est d'une ligne passant par les rues : Capitaine Hesry-rue du Colombier-rue Carnot-rue Thiers-rue Chateaubriand-rue du bas Bourgneuf. Les rues citées ci-dessus n'appartiennent pas au secteur de recrutement du collège Vercel","DINAN","Collège ""Roger Vercel""","12 rue de Léhon","BP 22065","","22102","22050"
"SECT_85","22118","LANVALLAY","","DINAN","Collège ""Roger Vercel""","12 rue de Léhon","BP 22065","","22102","22050"
"SECT_86","22299","SAINT-HELEN","","DINAN","Collège ""Roger Vercel""","12 rue de Léhon","BP 22065","","22102","22050"
"SECT_87","22339","TADEN","","DINAN","Collège ""Roger Vercel""","12 rue de Léhon","BP 22065","","22102","22050"
"SECT_88","22012","BOUILLIE (LA)","","ERQUY","Collège ""Thalassa""","27 rue Clémenceau","","","22430","22054"
"SECT_89","22054","ERQUY","","ERQUY","Collège ""Thalassa""","27 rue Clémenceau","","","22430","22054"
"SECT_9","22245","PLUZUNET","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_90","22179","FREHEL","","ERQUY","Collège ""Thalassa""","27 rue Clémenceau","","","22430","22054"
"SECT_91","22242","PLURIEN","","ERQUY","Collège ""Thalassa""","27 rue Clémenceau","","","22430","22054"
"SECT_92","22040","COADOUT","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_93","22067","GRACES","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_94","22070","GUINGAMP","rive gauche du Trieux","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_95","22072","GURUNHUEL","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_96","22156","MOUSTERU","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_97","22223","PLOUISY","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_98","22338","SQUIFFIEC","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_99","22354","TREGLAMUS","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
